Date,Revenue,OperatingProfit,Cash,Debt,Company,CIK
2023-04-30,152301000000,6240000000,10575000000.0,38120000000.0,Walmart,0000104169
2023-07-31,313933000000,13556000000,13888000000.0,36806000000.0,Walmart,0000104169
2023-10-31,474737000000,19758000000,12154000000.0,36342000000.0,Walmart,0000104169
2024-04-30,161508000000,6841000000,9405000000.0,35928000000.0,Walmart,0000104169
2024-07-31,330843000000,14781000000,8811000000.0,35364000000.0,Walmart,0000104169
2024-10-31,500431000000,21489000000,10049000000.0,33645000000.0,Walmart,0000104169
2025-04-30,165609000000,7135000000,9311000000.0,36520000000.0,Walmart,0000104169
2025-07-31,343011000000,14421000000,9431000000.0,35640000000.0,Walmart,0000104169
2025-10-31,522507000000,21117000000,10582000000.0,34445000000.0,Walmart,0000104169
2026-04-30,177751000000,7493000000,10729000000.0,36887000000.0,Walmart,0000104169
2026-07-31,365688000000,16876000000,11529000000.0,36462000000.0,Walmart,0000104169
