Date,BusinessUnit,Revenue,COGS,MarketingExpense,PayrollExpense,OtherOpex,OperatingExpenses,TotalExpenses,OperatingProfit,AccountsReceivable,AccountsPayable,Inventory,CashAndEquivalents,TotalDebt,NetCashFlow,BudgetRevenue,BudgetExpenses
2020-03-01,Enterprise Solutions,873927.35,356686.98,76593.58,179594.84,50144.84,306333.26,663020.24,210907.11,646855.11,209487.04,163012.74,1453764.81,900000,87237.17,912200.58,684150.43
2020-04-01,Enterprise Solutions,908518.99,393235.86,117307.0,176373.77,48479.63,342160.41,735396.27,173122.72,726328.13,292525.83,225364.03,1684165.29,900000,230400.48,907198.42,680398.82
2020-05-01,Enterprise Solutions,892150.93,423191.86,96207.9,176899.84,59906.49,333014.23,756206.09,135944.84,686951.55,297884.16,185107.82,1771404.6,900000,87239.31,878942.61,659206.95
2020-06-01,Enterprise Solutions,795803.17,325632.27,87960.92,180947.85,46680.95,315589.73,641222.0,154581.17,672700.02,189150.84,161587.86,1950520.21,900000,179115.61,836653.86,627490.39
2020-07-01,Enterprise Solutions,773049.73,313139.25,100108.4,180626.27,46128.35,326863.03,640002.28,133047.45,697653.12,188174.19,167936.75,2091967.7,900000,141447.49,793532.72,595149.54
2020-08-01,Enterprise Solutions,706666.33,302389.21,89376.65,180370.86,52942.44,322689.96,625079.17,81587.16,665154.44,173831.29,165156.97,2245688.8,900000,153721.1,763261.68,572446.26
2020-09-01,Enterprise Solutions,758278.41,338160.21,92579.3,183281.43,41093.51,316954.24,655114.45,103163.96,681553.39,199624.58,146332.47,2245488.33,900000,-200.47,756313.74,567235.3
2020-10-01,Enterprise Solutions,783817.4,336027.57,97083.64,190966.91,48419.03,336469.58,672497.15,111320.26,708688.4,214327.45,159743.77,2348615.61,900000,103127.29,777062.21,582796.66
2020-11-01,Enterprise Solutions,822942.34,344464.75,102850.29,190767.62,50624.73,344242.63,688707.38,134234.96,687887.8,251905.15,180791.5,2350429.63,900000,1814.02,822487.87,616865.9
2020-12-01,Enterprise Solutions,843700.35,346880.45,100992.0,190172.55,57879.69,349044.23,695924.69,147775.67,703110.58,252799.02,193461.97,2434296.08,900000,83866.45,882861.98,662146.49
2021-01-01,Enterprise Solutions,967777.7,389707.23,104998.54,185181.44,70525.6,360705.59,750412.82,217364.88,889572.94,241001.33,219892.88,2507670.68,900000,73374.59,944256.2,708192.15
2021-02-01,Enterprise Solutions,984200.27,456455.98,86113.46,185827.25,55978.89,327919.6,784375.58,199824.7,866650.49,316783.78,241113.52,2711044.77,900000,203374.09,992233.64,744175.23
2021-03-01,Enterprise Solutions,992165.01,411280.0,124439.84,186048.9,66972.88,377461.62,788741.62,203423.39,793943.2,264206.75,242431.74,2805589.97,900000,94545.2,1015744.17,761808.13
2021-04-01,Enterprise Solutions,1084293.29,435288.26,134025.37,191195.36,84535.35,409756.08,845044.33,239248.96,912197.83,300057.33,254425.93,3100734.85,900000,295144.88,1010174.22,757630.67
2021-05-01,Enterprise Solutions,1033969.84,448671.0,120790.64,195874.31,80681.71,397346.67,846017.67,187952.17,963031.37,287224.76,189629.73,3315394.14,900000,214659.29,978711.1,734033.32
2021-06-01,Enterprise Solutions,933179.6,417413.14,93271.43,196156.55,48192.05,337620.04,755033.17,178146.43,731425.53,296601.54,167351.95,3446215.28,900000,130821.15,931622.17,698716.62
2021-07-01,Enterprise Solutions,905427.12,387258.13,88141.21,194135.45,65303.97,347580.63,734838.76,170588.36,736161.58,230387.98,189945.43,3560538.2,900000,114322.92,883606.36,662704.77
2021-08-01,Enterprise Solutions,781136.8,369624.31,76644.9,194799.76,52662.41,324107.07,693731.38,87405.43,670266.99,204261.37,196901.63,3527951.64,900000,-32586.56,849899.26,637424.45
2021-09-01,Enterprise Solutions,835369.22,339851.57,108467.44,192695.86,54354.01,355517.31,695368.88,140000.34,709100.04,191477.57,186915.68,3553581.37,900000,25629.73,842162.66,631622.0
2021-10-01,Enterprise Solutions,850375.18,342636.55,88101.71,195433.35,56928.57,340463.63,683100.17,167275.0,609231.87,241594.92,168117.28,3705633.04,900000,152051.67,865266.29,648949.72
2021-11-01,Enterprise Solutions,950084.95,391833.29,84649.15,191917.95,72067.33,348634.44,740467.74,209617.21,889781.98,244763.32,177950.67,3923756.97,900000,218123.93,915848.2,686886.15
2021-12-01,Enterprise Solutions,1010670.63,406459.06,92070.69,203022.74,57539.75,352633.17,759092.23,251578.4,877235.01,225154.79,171046.8,4241004.56,900000,317247.59,983075.36,737306.52
2022-01-01,Enterprise Solutions,1012888.66,413213.31,93346.41,202422.79,72591.71,368360.91,781574.22,231314.44,925703.37,295878.9,198109.63,4509850.72,900000,268846.17,1051438.42,788578.81
2022-02-01,Enterprise Solutions,1124520.61,450977.92,94769.45,200436.69,63239.2,358445.34,809423.26,315097.35,794623.43,264402.53,232978.94,4723610.04,900000,213759.31,1104861.76,828646.32
2022-03-01,Enterprise Solutions,1113304.32,468427.11,110200.01,205599.73,75380.55,391180.29,859607.39,253696.93,853922.13,316108.56,225726.75,4962956.72,900000,239346.68,1131040.96,848280.72
2022-04-01,Enterprise Solutions,1131959.59,521933.51,98486.89,203255.8,86090.1,387832.79,909766.3,222193.29,930309.82,380442.79,292267.65,5199531.33,900000,236574.61,1124838.77,843629.08
2022-05-01,Enterprise Solutions,1099867.58,495686.41,102171.52,199514.59,59591.58,361277.68,856964.09,242903.49,999485.49,370218.48,250390.06,5365912.35,900000,166381.02,1089804.27,817353.21
2022-06-01,Enterprise Solutions,1043465.22,440263.45,112390.49,202815.06,72565.3,387770.84,828034.3,215430.92,946877.33,260320.85,177073.59,5424407.05,900000,58494.7,1037370.3,778027.72
2022-07-01,Enterprise Solutions,991461.49,444215.74,112284.83,209809.3,54789.29,376883.42,821099.17,170362.33,920674.1,281523.55,211725.53,5625272.9,900000,200865.85,983904.23,737928.17
2022-08-01,Enterprise Solutions,961067.98,390793.2,105868.95,205801.05,55127.31,366797.31,757590.51,203477.47,766282.47,237500.17,184116.18,5864795.13,900000,239522.23,946371.05,709778.29
2022-09-01,Enterprise Solutions,911047.13,412789.71,115558.57,216998.51,65574.59,398131.67,810921.38,100125.76,686688.2,229608.76,186767.86,6011529.42,900000,146734.29,937756.27,703317.21
2022-10-01,Enterprise Solutions,1037480.28,442733.83,122988.73,209942.33,55191.82,388122.88,830856.71,206623.57,745724.69,307982.36,220967.68,6234265.52,900000,222736.1,963482.39,722611.79
2022-11-01,Enterprise Solutions,1041458.92,483188.27,119491.61,209678.35,60575.79,389745.74,872934.02,168524.91,882696.49,300637.22,202125.59,6507018.82,900000,272753.31,1019805.84,764854.38
2022-12-01,Enterprise Solutions,1092219.54,453064.28,116971.3,214369.14,83214.43,414554.88,867619.16,224600.38,964491.26,322270.16,240919.95,6695255.02,900000,188236.2,1094663.92,820997.94
2023-01-01,Enterprise Solutions,1168322.38,488004.47,151161.52,208671.78,91505.09,451338.39,939342.86,228979.52,829341.47,337267.22,285506.85,6805090.22,900000,109835.2,1170786.85,878090.14
2023-02-01,Enterprise Solutions,1190374.38,564179.96,153026.09,217967.86,93239.64,464233.59,1028413.55,161960.83,974385.18,407568.41,320967.55,6839435.87,900000,34345.65,1230274.26,922705.7
2023-03-01,Enterprise Solutions,1263056.76,528463.84,108658.68,214581.54,66068.73,389308.95,917772.79,345283.97,1104002.79,326577.44,287988.14,7060143.63,900000,220707.75,1259425.05,944568.79
2023-04-01,Enterprise Solutions,1306889.86,556081.9,145449.74,217724.26,100080.75,463254.76,1019336.66,287553.21,1116039.24,331753.95,225146.53,7477769.6,900000,417625.97,1252518.85,939389.14
2023-05-01,Enterprise Solutions,1216503.17,577991.57,145906.37,221503.56,97244.86,464654.79,1042646.37,173856.8,958212.73,406581.04,277659.17,7592029.66,900000,114260.06,1213507.6,910130.7
2023-06-01,Enterprise Solutions,1139683.57,494290.52,133205.21,223846.13,65148.09,422199.43,916489.95,223193.62,829254.88,306917.06,226112.11,7771344.37,900000,179314.7,1155121.86,866341.4
2023-07-01,Enterprise Solutions,1094446.87,471428.76,124747.64,221373.85,61888.36,408009.85,879438.61,215008.26,1026033.32,333426.95,197001.69,7885563.86,900000,114219.5,1095586.88,821690.16
2023-08-01,Enterprise Solutions,1052229.59,472527.8,92966.27,223887.29,83899.59,400753.15,873280.95,178948.64,797503.66,348983.69,250406.34,8054743.72,900000,169179.86,1053793.32,790344.99
2023-09-01,Enterprise Solutions,1024222.83,427755.29,91485.54,221467.9,75165.19,388118.63,815873.92,208348.91,806607.55,240213.91,254009.87,8258546.0,900000,203802.28,1044200.68,783150.51
2023-10-01,Enterprise Solutions,1118566.47,509710.21,98092.46,222553.18,83305.23,403950.87,913661.08,204905.39,845759.45,303157.04,258624.35,8440180.74,900000,181634.74,1072846.96,804635.22
2023-11-01,Enterprise Solutions,1114687.85,525129.27,142437.68,224313.35,84564.49,451315.52,976444.79,138243.06,1005870.93,357638.45,267905.98,8468432.92,900000,28252.17,1135563.66,851672.75
2023-12-01,Enterprise Solutions,1168480.52,535016.39,122449.5,224501.23,61265.05,408215.79,943232.18,225248.34,882256.31,367369.94,222152.81,8741600.42,900000,273167.5,1218918.87,914189.15
2024-01-01,Enterprise Solutions,1051884.01,653534.8,136591.29,226325.56,98653.37,461570.23,1115105.03,287406.98,1180119.88,394346.59,376256.98,8689730.79,900000,-51869.63,1303682.49,977761.87
2024-02-01,Enterprise Solutions,1052731.65,639776.91,160025.09,230670.75,96231.38,486927.22,1126704.13,276938.07,1246685.75,372171.68,368622.92,8749139.47,900000,59408.68,1369922.29,1027441.72
2024-03-01,Enterprise Solutions,1395351.07,595549.11,163500.84,230826.47,76497.05,470824.36,1066373.47,328977.61,1262083.54,426667.36,298664.03,8931320.4,900000,182180.92,1402381.98,1051786.48
2024-04-01,Enterprise Solutions,1402687.59,631973.99,130436.17,231769.73,96813.74,459019.64,1090993.63,311693.96,1171239.01,446154.1,266311.39,9266629.7,900000,335309.3,1394691.86,1046018.89
2024-05-01,Enterprise Solutions,1347389.41,607146.81,170581.39,233718.29,71513.09,475812.77,1082959.57,264429.83,1258875.52,417460.27,251096.13,9403311.84,900000,136682.14,1351252.46,1013439.34
2024-06-01,Enterprise Solutions,1291370.29,552281.17,143401.22,232038.42,66340.61,441780.25,994061.41,297308.88,1185328.39,411282.57,327931.06,9780539.88,900000,377228.04,1286239.37,964679.53
2024-07-01,Enterprise Solutions,1277242.26,580715.6,130655.67,235205.88,74346.74,440208.29,1020923.89,256318.37,1212461.97,368891.61,284711.74,9867445.75,900000,86905.86,1219946.59,914959.94
2024-08-01,Enterprise Solutions,1137459.34,462480.14,129698.76,238799.38,79207.36,447705.5,910185.65,227273.7,873926.94,342315.18,198964.31,9984641.91,900000,117196.16,1173409.06,880056.79
2024-09-01,Enterprise Solutions,1227141.64,529889.03,114996.38,234742.1,97581.48,447319.95,977208.98,249932.66,984576.85,386193.64,236325.69,10195962.47,900000,211320.57,1162727.56,872045.67
2024-10-01,Enterprise Solutions,1149771.84,539413.92,119185.92,243568.59,90884.64,453639.14,993053.06,156718.78,858168.29,390387.14,299547.0,10330960.44,900000,134997.97,1194625.47,895969.1
2024-11-01,Enterprise Solutions,1288842.06,529069.14,105203.42,244516.63,100046.93,449766.98,978836.12,310005.95,1100880.66,375272.69,262579.38,10557381.58,900000,226421.14,1264461.13,948345.84
2024-12-01,Enterprise Solutions,1329736.38,553226.16,139063.47,247230.85,69048.25,455342.57,1008568.72,321167.66,1124282.6,334037.22,309536.57,10793617.45,900000,236235.87,1357277.95,1017958.47
2020-01-01,Cloud Services,679650.83,304484.69,64283.5,135728.36,48152.89,248164.76,552649.44,127001.38,621901.3,214957.12,0.0,1245871.31,900000,45871.31,689000.0,516750.0
2020-02-01,Cloud Services,720424.16,345034.91,62766.79,142819.73,46803.54,252390.07,597424.98,122999.18,615630.49,238244.19,0.0,1400310.66,900000,154439.34,726160.58,544620.44
2020-03-01,Cloud Services,750237.79,305368.78,73171.7,138941.41,38259.2,250372.31,555741.09,194496.71,539904.6,192194.42,0.0,1510448.61,900000,110137.96,745576.83,559182.62
2020-04-01,Cloud Services,765755.76,318563.6,67673.0,147981.02,40689.99,256344.01,574907.61,190848.15,657866.56,220221.47,0.0,1568026.28,900000,57577.67,743693.0,557769.75
2020-05-01,Cloud Services,723964.87,330652.74,89444.74,145222.28,51707.46,286374.48,617027.22,106937.65,651881.15,204307.03,0.0,1738637.91,900000,170611.63,722672.07,542004.05
2020-06-01,Cloud Services,692317.96,322193.58,71042.84,151073.1,47982.71,270098.65,592292.23,100025.73,575732.08,224349.16,0.0,1799986.04,900000,61348.13,689947.3,517460.47
2020-07-01,Cloud Services,643506.65,302282.54,58533.82,147838.21,51014.61,257386.63,559669.18,83837.48,504653.33,177265.61,0.0,1889600.92,900000,89614.88,656333.07,492249.8
2020-08-01,Cloud Services,689493.72,315468.3,63035.4,150074.87,55083.67,268193.94,583662.23,105831.48,650674.04,214538.99,0.0,1918337.69,900000,28736.77,633172.8,474879.6
2020-09-01,Cloud Services,624415.68,293139.31,72656.04,146441.63,45133.51,264231.19,557370.49,67045.18,503512.15,181508.05,0.0,1911221.05,900000,-7116.64,629274.49,471955.87
2020-10-01,Cloud Services,618077.04,283092.03,64486.11,158543.02,47099.14,270128.26,553220.29,64856.75,571829.71,179577.78,0.0,1923753.42,900000,12532.38,648460.13,486345.09
2020-11-01,Cloud Services,718902.57,329723.98,62241.42,157776.35,51383.38,271401.15,601125.13,117777.44,666608.25,193197.35,0.0,1940372.59,900000,16619.17,688408.68,516306.51
2020-12-01,Cloud Services,748337.27,328806.1,69117.59,153867.79,56965.3,279950.68,608756.78,139580.49,607145.72,214698.37,0.0,2028199.29,900000,87826.69,741137.85,555853.39
2021-01-01,Cloud Services,786388.82,375542.33,73060.77,152497.39,54812.95,280371.11,655913.44,130475.38,614403.63,264642.66,0.0,2031473.41,900000,3274.12,795033.4,596275.05
2021-02-01,Cloud Services,798801.57,324217.37,70684.27,156161.38,52395.97,279241.61,603458.99,195342.58,626460.77,232067.23,0.0,2213667.05,900000,182193.64,837912.79,628434.59
2021-03-01,Cloud Services,899050.98,371634.73,79458.99,160659.48,45941.63,286060.1,657694.83,241356.15,794851.42,253737.66,0.0,2387997.52,900000,174330.48,860317.1,645237.82
2021-04-01,Cloud Services,867479.67,407248.48,78326.53,163143.41,46286.62,287756.56,695005.05,172474.63,665736.35,228636.37,0.0,2494364.61,900000,106367.08,858143.36,643607.52
2021-05-01,Cloud Services,852215.6,362440.89,89790.92,160151.63,43673.65,293616.2,656057.09,196158.51,628156.02,270861.51,0.0,2792308.19,900000,297943.59,833887.42,625415.56
2021-06-01,Cloud Services,799454.51,375290.7,82133.55,162906.22,52338.59,297378.36,672669.06,126785.45,657320.81,256463.48,0.0,2885746.99,900000,93438.8,796126.48,597094.86
2021-07-01,Cloud Services,782517.31,325643.23,88950.01,159592.04,61895.05,310437.11,636080.34,146436.97,566131.85,222909.44,0.0,2965031.61,900000,79284.62,757339.2,568004.4
2021-08-01,Cloud Services,742608.81,346834.87,94482.65,161131.81,52352.02,307966.47,654801.34,87807.47,612127.76,233617.37,0.0,3079933.79,900000,114902.18,730614.69,547961.02
2021-09-01,Cloud Services,750198.67,313023.41,84730.64,168624.34,46374.23,299729.21,612752.62,137446.06,647277.6,178836.1,0.0,3172969.23,900000,93035.45,726116.46,544587.34
2021-10-01,Cloud Services,770817.73,356573.22,83518.73,165494.56,55617.18,304630.47,661203.69,109614.04,708866.25,224936.39,0.0,3217285.29,900000,44316.06,748254.65,561190.99
